nohup: ignoring input
[Resume] Loaded weights from soul_ichigo.pth!
=== Kamen Fight RL Trainer ===
Device: cpu | Games: 7800 | Roster Pool: ['nigo', 'v3', 'riderman', 'x', 'amazon']
------------------------------------------------------------
Battles: 131/7800 | Vs: v3       | Win Rate (Last 50):  10.0% | Speed: 8,346 steps/s (154 fights/min) | Elapsed: 50.9s
Battles: 134/7800 | Vs: amazon   | Win Rate (Last 50):  10.0% | Speed: 8,352 steps/s (154 fights/min) | Elapsed: 52.0s
Battles: 137/7800 | Vs: riderman | Win Rate (Last 50):  10.0% | Speed: 8,367 steps/s (154 fights/min) | Elapsed: 53.1s
Battles: 140/7800 | Vs: nigo     | Win Rate (Last 50):  10.0% | Speed: 8,370 steps/s (155 fights/min) | Elapsed: 54.1s
Battles: 143/7800 | Vs: x        | Win Rate (Last 50):   8.0% | Speed: 8,384 steps/s (155 fights/min) | Elapsed: 55.2s
Battles: 146/7800 | Vs: v3       | Win Rate (Last 50):  12.0% | Speed: 8,379 steps/s (155 fights/min) | Elapsed: 56.3s
Battles: 149/7800 | Vs: amazon   | Win Rate (Last 50):  12.0% | Speed: 8,387 steps/s (155 fights/min) | Elapsed: 57.5s
Battles: 152/7800 | Vs: riderman | Win Rate (Last 50):  14.0% | Speed: 8,395 steps/s (155 fights/min) | Elapsed: 58.6s
Battles: 155/7800 | Vs: nigo     | Win Rate (Last 50):  14.0% | Speed: 8,375 steps/s (155 fights/min) | Elapsed: 59.9s
Battles: 158/7800 | Vs: x        | Win Rate (Last 50):  14.0% | Speed: 8,379 steps/s (155 fights/min) | Elapsed: 61.0s
Battles: 161/7800 | Vs: v3       | Win Rate (Last 50):  14.0% | Speed: 8,372 steps/s (155 fights/min) | Elapsed: 62.3s
Battles: 164/7800 | Vs: amazon   | Win Rate (Last 50):  16.0% | Speed: 8,384 steps/s (155 fights/min) | Elapsed: 63.4s
Battles: 167/7800 | Vs: riderman | Win Rate (Last 50):  16.0% | Speed: 8,386 steps/s (154 fights/min) | Elapsed: 64.7s
Battles: 170/7800 | Vs: nigo     | Win Rate (Last 50):  12.0% | Speed: 8,397 steps/s (154 fights/min) | Elapsed: 65.8s
Battles: 173/7800 | Vs: x        | Win Rate (Last 50):  12.0% | Speed: 8,394 steps/s (154 fights/min) | Elapsed: 67.0s
Battles: 176/7800 | Vs: v3       | Win Rate (Last 50):  10.0% | Speed: 8,393 steps/s (154 fights/min) | Elapsed: 68.1s
Battles: 179/7800 | Vs: amazon   | Win Rate (Last 50):  12.0% | Speed: 8,399 steps/s (154 fights/min) | Elapsed: 69.3s
Battles: 182/7800 | Vs: riderman | Win Rate (Last 50):  12.0% | Speed: 8,390 steps/s (154 fights/min) | Elapsed: 70.6s
Battles: 185/7800 | Vs: nigo     | Win Rate (Last 50):  12.0% | Speed: 8,398 steps/s (154 fights/min) | Elapsed: 71.6s
Battles: 188/7800 | Vs: x        | Win Rate (Last 50):  12.0% | Speed: 8,389 steps/s (154 fights/min) | Elapsed: 72.8s
Battles: 191/7800 | Vs: v3       | Win Rate (Last 50):  12.0% | Speed: 8,400 steps/s (155 fights/min) | Elapsed: 73.9s
Battles: 194/7800 | Vs: amazon   | Win Rate (Last 50):  10.0% | Speed: 8,401 steps/s (155 fights/min) | Elapsed: 75.1s
Battles: 197/7800 | Vs: riderman | Win Rate (Last 50):  10.0% | Speed: 8,409 steps/s (155 fights/min) | Elapsed: 76.2s
Battles: 200/7800 | Vs: nigo     | Win Rate (Last 50):  12.0% | Speed: 8,410 steps/s (155 fights/min) | Elapsed: 77.4s
Battles: 203/7800 | Vs: x        | Win Rate (Last 50):  10.0% | Speed: 8,399 steps/s (154 fights/min) | Elapsed: 78.7s
Battles: 206/7800 | Vs: v3       | Win Rate (Last 50):  12.0% | Speed: 8,401 steps/s (155 fights/min) | Elapsed: 79.7s
Battles: 209/7800 | Vs: amazon   | Win Rate (Last 50):  12.0% | Speed: 8,392 steps/s (154 fights/min) | Elapsed: 80.9s
Battles: 212/7800 | Vs: riderman | Win Rate (Last 50):  12.0% | Speed: 8,400 steps/s (155 fights/min) | Elapsed: 82.0s
Battles: 215/7800 | Vs: nigo     | Win Rate (Last 50):  10.0% | Speed: 8,402 steps/s (155 fights/min) | Elapsed: 83.0s
Battles: 218/7800 | Vs: x        | Win Rate (Last 50):  10.0% | Speed: 8,401 steps/s (155 fights/min) | Elapsed: 84.2s
